rank,track_id,track_name,artist_name,album_name,popularity,duration_ms,time_range
1,2PSjplBcb9xHYgZdTurg88,Queen Of Swords,Desirée Falessi,Queen Of Swords,10,401773,short_term
2,52ikpG7wqDrqAkocLVJjrx,Echoes,"Hard Target, Clouds, Tommy Holohan",Echoes,32,361306,short_term
3,6vvgZ1kNlBg10FHDo27fxk,Mehr Blau als Sonnenlicht,ALIVEMAEX,Mehr Blau als Sonnenlicht,21,295756,short_term
4,6p2sh70Zowkw47cG0TkXg0,Phonky Tribu - FUNK TRIBU SPECIAL MIX,Funk Tribu,Phonky Tribu (FUNK TRIBU SPECIAL MIX),51,186095,short_term
5,7oncLeIzUPgJf4a6jm1c3e,THIS FEELING,"DJ Anemia, crier, sixnite",THIS FEELING,66,122482,short_term
6,2nWw7VrUn8Ijo45K6WIIna,Vielleicht Vielleicht - Holy Priest & elMefti Remix,"MilleniumKid, JBS, Holy Priest, elMefti",Vielleicht Vielleicht (Holy Priest & elMefti Remix),76,169818,short_term
7,1HLn3hITdl2Zo33y0v6mf3,Drop It - Charlotte de Witte Rework,"Scoop, Charlotte de Witte",Drop It (Charlotte de Witte Rework),51,343536,short_term
8,2TYJ9tNQ2qlpo0Bm7qhaNi,Робот,t.A.T.u.,200 По встречной,42,231186,short_term
9,5jmqf0BMOKEcC8pMC2OiGo,Клоуны,t.A.T.u.,200 По встречной,35,210232,short_term
10,7nSWCkjufj2nFjVPdAyNRh,French Lesson,Jeff The Fool,French Lessons,9,148384,short_term
11,6RzYZKKMXP0GkKBsPqBXHY,Mazda Fever,Dica,SNRVA007,15,364612,short_term
12,4oodd2Z1U6Xg5tWMiUb3DN,Unendlichkeit (Remix),"MilleniumKid, JBS, The Boy The G",Unendlichkeit (Remix),70,172764,short_term
13,2qxaiv9ZSeRhVBe0zGZaAa,Nothing,"Jeff The Fool, Fleur De Mur, Georges",French Lessons,10,209548,short_term
14,44v5k8xmzmb1RBP8oO66Lx,Gogopoints,Pascal Schumacher,Drops & Points Reworks,1,312400,short_term
15,7pDI2bx4HABLftXYtjlFGS,Нас не догонят,t.A.T.u.,200 По встречной,50,276000,short_term
16,6i7EW5BMY2KYC4IG1t8MVV,Sleep,EFESIAN,Sleep,38,218630,short_term
17,2UgZlklYHmUFJotihY4GDk,Purple Reflexe,Pavel K. Novalis,Purple Reflexe,2,370000,short_term
18,63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",The Rolling Stones,Aftermath,82,202266,short_term
19,7bosdFrmYuehGEG7XO9WXT,Bubbles - Ryvage Rework,"Pascal Schumacher, Maxime Delpierre, Ryvage",Drops & Points Reworks,0,263521,short_term
20,5ybhzc1JrHibxZCqh67DMu,3.5 Mins Of Acid,KI/KI,slash 010 - 5 Mins Of Acid,44,211862,short_term
