playlist_id,playlist_name,description,total_tracks,public,collaborative,owner
0VNa8Z0qSl6dVBB25LjVSt,My top tracks playlist,Playlist created by the tutorial on developer.spotify.com,5,True,False,Juan P.
2cSyub177ylamodNcOskhz,Portuguese,,1,True,False,Juan P.
2slhfhWLg1g5Sv5lkaLhRz,Deutsch ,,45,True,False,Juan P.
5ztNDbtACqVQbNctib3UZl,Learn Deutsch ,,1,True,False,Juan P.
6hPrGKOUMV1otEEENn6IsW,Anime,,6,True,False,Juan P.
183fmnBvSFRE8bW3zw6wpC,🐶 Michi Michi,Playlist made for mumi,4,True,False,Juan P.
2eaC0OVYYntg0PlCp8uz8f,✨,,12,True,False,Juan P.
60imVcc0qLqG452uAzEG8C,GetReadyWithJuan 03.20.23,"A playlist based on your style. You’re Up for Whatever. You’re wearing Purple, Purple, and White. Your vibe is Fuzzy.",30,True,False,Juan P.
42W45EejZE8kGRQqhhceOa,Running,,8,True,False,Juan P.
42nLuBCuBLSMy0b3IcTJ3z,Memorias,,5,True,False,Juan P.
5rMEVCehdKG5UzMivA1tgL,Old Trance,Old Trance hists and some new aditions,43,True,False,Juan P.
3kMddYr1AlK1fyHROBOqMB,Nice,"Funk, House, Disco",150,True,False,Juan P.
2G2F1LgoAD5jAa9AbjmtpX,70s & 80s,,95,True,False,Juan P.
4Kqma780gsDVuFvb8Cgio7,Alternative,"Punk, Rock, Nü Metal, Indie",255,True,False,Juan P.
10xYS0VnJXRrf392UMSJH1,ACIDS 🤯,"Techno, Acid Techno, Hard Techno, whatever hahah this is a Techno playlist.",510,True,False,Juan P.
3R4dkSe4yhzhjWE3xr3hOf,Starred,,169,True,False,Juan P.
2htDErZINLpbSCD10JRAVA,Instrumental,,65,True,False,Juan P.
72UNmVLuprotH9NT19lhz9,Favoritas de la radio,,206,True,False,Juan P.
5H2ZiZiku6GG0t9ELRvUNr,Favoritas de la radio,,77,True,False,Juan P.
6pYo1mgSjIti49lJyNamMr,Español,,65,True,False,Juan P.
4EiiW94hCS7mQ7OCJyZlGM,Mind Trip 💭,"Deep House, Tech House, Minimal Techno",1049,True,False,Juan P.
