rank,artist_id,artist_name,genres,popularity,followers,time_range
1,2Q3eZMfDQgT8MhPowKFXYO,t.A.T.u.,,64,1079309,short_term
2,0VSt9azgjBhQlNlSlySE7M,Pascal Schumacher,dark ambient,26,5278,short_term
3,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,"classic rock, rock",78,15645623,short_term
4,3YPJmqPLtlrRR4oiJquoNF,Desirée Falessi,minimal techno,3,388,short_term
5,3vcY5vaGqSQF6UA9N2iC4L,Mees Salomé,"melodic techno, melodic house",41,28103,short_term
6,4V8AR3bBMhrLaWirYLKBEe,Kalte Liebe,"techno, hard techno, neue deutsche welle",44,40276,short_term
7,4uZJDUKi3NXQsuMKP3rOeC,Miguel Campbell,"nu disco, deep house",43,41823,short_term
8,609hP92W6p3l5agWsi1pnb,Tham,"hard techno, acid techno, techno, industrial",31,16602,short_term
9,7orlzf5LTqSnCzURkZFebN,KAS:ST,"melodic techno, techno, acid techno, melodic house",47,147419,short_term
10,1vK8NnrPlBlF34LaiFX1SK,Funk Tribu,"hard house, techno, phonk, hard techno",59,134888,short_term
11,21A7bhIL1m6CNZn8y57PIZ,Reinier Zonneveld,"techno, acid techno, hard techno, tekno, minimal techno",50,199926,short_term
12,6H77vD9YyhyxHBTkRpbMBk,Klangkuenstler,"hard techno, techno, acid techno, tekno",51,206504,short_term
13,6kBDZFXuLrZgHnvmPu9NsG,Aphex Twin,"idm, ambient, electronica",64,1768455,short_term
14,6nJEMDVNcq7fduXgk7EdGG,MilleniumKid,"german indie, neue deutsche welle, german indie pop",65,84355,short_term
15,4oLeXFyACqeem2VImYeBFe,Fred again..,"stutter house, house",77,2153157,short_term
1,4V8AR3bBMhrLaWirYLKBEe,Kalte Liebe,"techno, hard techno, neue deutsche welle",44,40276,medium_term
2,21A7bhIL1m6CNZn8y57PIZ,Reinier Zonneveld,"techno, acid techno, hard techno, tekno, minimal techno",50,199926,medium_term
3,5Oj63iJRdqjYznBuOGct8Z,skaviński,,32,4975,medium_term
4,4uZJDUKi3NXQsuMKP3rOeC,Miguel Campbell,"nu disco, deep house",43,41823,medium_term
5,67zxtspF6QzJlc2a99yKwB,MARA,,35,6297,medium_term
6,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,"classic rock, rock",78,15645623,medium_term
7,2Q3eZMfDQgT8MhPowKFXYO,t.A.T.u.,,64,1079309,medium_term
8,7orlzf5LTqSnCzURkZFebN,KAS:ST,"melodic techno, techno, acid techno, melodic house",47,147419,medium_term
9,1vK8NnrPlBlF34LaiFX1SK,Funk Tribu,"hard house, techno, phonk, hard techno",59,134888,medium_term
10,50udUOTR7dQUgyPwPuCLM6,MALUGI,"hard house, eurodance, trance, uk garage, hypertechno",51,37397,medium_term
11,01xiB0IlXMXy3wrrotgDnU,Clint Mansell,soundtrack,50,174604,medium_term
12,5HbNxuQxsJRdjqfJ6wNh17,Amirali,indie dance,17,6209,medium_term
13,73A3bLnfnz5BoQjb4gNCga,BICEP,,59,629797,medium_term
14,6kBDZFXuLrZgHnvmPu9NsG,Aphex Twin,"idm, ambient, electronica",64,1768455,medium_term
15,0VSt9azgjBhQlNlSlySE7M,Pascal Schumacher,dark ambient,26,5278,medium_term
16,4oLeXFyACqeem2VImYeBFe,Fred again..,"stutter house, house",77,2153157,medium_term
17,609hP92W6p3l5agWsi1pnb,Tham,"hard techno, acid techno, techno, industrial",31,16602,medium_term
18,0bdfiayQAKewqEvaU6rXCv,MØ,,68,1465296,medium_term
19,26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,,74,4280790,medium_term
20,2zTZPZYK9L4KKiCd8kPJrM,Asher Fulero,,24,3266,medium_term
21,44zcDDVZOY0ck7KECNUPK1,Dominik Eulberg,"minimal techno, melodic techno",42,150347,medium_term
22,3jO7X5KupvwmWTHGtHgcgo,Charly García,"argentine rock, latin rock, rock en español",64,2128435,medium_term
23,44Ga1YqZthFOzZSTHiNWkC,Hidden Empire,"melodic techno, minimal techno, techno, melodic house",36,59237,medium_term
24,0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer,soundtrack,77,4737729,medium_term
25,2AR42Ur9PcchQDtEdwkv4L,Floating Points,"idm, gnawa",49,389242,medium_term
26,2exkZbmNqMKnT8LRWuxWgy,Moderat,"idm, electronica",55,761725,medium_term
27,4iBwchw0U0GZv5RfVYSMxN,Anyma,"melodic techno, melodic house, techno, stutter house",70,783995,medium_term
28,0TcG5lNGilB4tBNdhcOaAU,ROÜGE,"ebm, hard techno, techno",21,8036,medium_term
29,3YPJmqPLtlrRR4oiJquoNF,Desirée Falessi,minimal techno,3,388,medium_term
30,6Ghvu1VvMGScGpOUJBAHNH,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",82,7614349,medium_term
31,6mM9a86Nrw0y7f9MaJGbpU,Giolì & Assia,melodic techno,45,225000,medium_term
32,7w29UYBi0qsHi5RTcv3lmA,Björk,"art pop, trip hop",64,2427986,medium_term
33,1WjBIvYAnZTkTh5UiZNwlR,Oliver Koletzki,"organic house, minimal techno",52,365272,medium_term
34,3vcY5vaGqSQF6UA9N2iC4L,Mees Salomé,"melodic techno, melodic house",41,28103,medium_term
35,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,"classic rock, yacht rock, soft rock",83,13859306,medium_term
36,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,"funk rock, alternative rock, rock",83,23108228,medium_term
37,0X380XXQSNBYuleKzav5UO,Nine Inch Nails,"industrial rock, industrial, industrial metal, alternative metal, nu metal",71,3037735,medium_term
38,1yAwtBaoHLEDWAnWR87hBT,Modest Mouse,"indie rock, indie, alternative rock",64,1568313,medium_term
39,240wlM8vDrf6S4zCyzGj2W,CamelPhat,"melodic techno, house, progressive house, melodic house, tech house",65,521007,medium_term
40,5wMlMjOLeJfS5DfxqGfm83,Jan Blomqvist,"melodic house, melodic techno, deep house",60,324938,medium_term
41,041iTeoMIwXMlShuQPIVKo,Klangkarussell,,63,442369,medium_term
42,3VNITwohbvU5Wuy5PC6dsI,Kool & The Gang,"disco, funk",67,2798476,medium_term
43,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"hip hop, east coast hip hop, rap",82,10296792,medium_term
44,4O71i7ke5iIBX6RNSFoZbS,trentemøller,"minimal techno, electronica",46,407429,medium_term
45,4gGD7nrLZRnnCSz3KGEu4R,Township Rebellion,"melodic techno, minimal techno, techno, melodic house",38,68817,medium_term
46,5EnbpUtGIk2qPzGgNE75m0,In Verruf,"hard techno, acid techno, techno, hardcore techno, tekno",38,25159,medium_term
47,5n8XW4GI0uT3sHgwUOUapx,Alx Beats,"drift phonk, phonk",39,17749,medium_term
48,6BVLQfvzlvlNZ43WjbFgbI,Jean Tonique,"nu disco, french house, french indie pop",56,50095,medium_term
49,6Jbyd4qzEtbFtswZP1o6Ht,Agents Of Time,"melodic techno, melodic house, techno",55,130618,medium_term
50,6mrd6VB8APeUr5ATWunRZX,DJ Traytex,"techno, hard house, trance",42,8563,medium_term
1,4uZJDUKi3NXQsuMKP3rOeC,Miguel Campbell,"nu disco, deep house",43,41823,long_term
2,21A7bhIL1m6CNZn8y57PIZ,Reinier Zonneveld,"techno, acid techno, hard techno, tekno, minimal techno",50,199926,long_term
3,4V8AR3bBMhrLaWirYLKBEe,Kalte Liebe,"techno, hard techno, neue deutsche welle",44,40276,long_term
4,4iBwchw0U0GZv5RfVYSMxN,Anyma,"melodic techno, melodic house, techno, stutter house",70,783995,long_term
