track_id,track_name,duration_ms,popularity,explicit,key,mode,tempo,time_signature,preview_url,artist_genres
2icwxIbOUTmvHcF4SRkEjQ,Night Moves,296565,0,False,,,,,,nu disco
0hJe1vYGNravpYXAzRA3mx,VTOPIA,382943,43,False,,,,,,"melodic techno, techno, acid techno, melodic house"
6jBNUlTbv3fyn5t4izsdMa,again,255213,1,False,,,,,,"anime, j-pop, j-rock"
4pBufwWdo0Cfiq5gLvatT2,CHROMA 005 A.L.O.E,310066,28,False,,,,,,dub techno
49ClMrWOGPPeeuSKOGQ76C,Places,218004,0,False,,,,,,tekno
705464kArbZGSFRkdEoQ2L,Reverie,520190,23,False,,,,,,"melodic techno, melodic house"
0ctaAzM5shcfvJnQmIEGsz,Follow Me - Lange Vs. DJ Jam X & De Leon Remix,459106,25,False,,,,,,"trance, progressive trance, trance, progressive trance"
2Dfu95s1P62yfY5Ttekwgh,Spectrum (ASOT 818),265171,1,False,,,,,,"trance, progressive trance, trance, progressive trance"
4o9XrRSQhyCi8O3jglCaIg,Apocalypse,320000,32,False,,,,,,"melodic techno, melodic house, techno"
36FYGGxyVkRvzxRPy6gohO,Vanishing Point,399617,0,False,,,,,,"melodic techno, melodic house, progressive house"
1rbJVNRXE8jASvaAzWw9s8,Diving with Whales - Daniel Portman Radio Mix,268292,27,False,,,,,,"deep house, melodic house, progressive house, house, progressive house, melbourne bounce, minimal techno, melodic techno, melodic house"
1D3hoEs8rqnZIQ4OERkj3k,People,289552,7,False,,,,,,nu disco
3JG2Du9zu34cxWDTytS2sI,Sunset,328533,0,False,,,,,,"melodic house, melodic techno, progressive house"
3ytB36asCsmd9gKd30Negg,Painfully - Dub Mix,445743,21,False,,,,,,"melodic techno, melodic house, techno, minimal techno"
2kMjk14RmYyYhhSbipoa9U,The Sharpest Lives,200880,70,False,,,,,,"emo, pop punk"
4jEiAVZAmiqzhLaYh0dD7W,No Promises (feat. Demi Lovato) - Club Edit,285057,20,False,,,,,,
2gHhVQLkEn5HdKrfxMrXQM,Huys,440454,22,False,,,,,,techno
0LvTWZYF3PktiCX9MhZmsa,Minotaur,428000,0,False,,,,,,"techno, acid techno, minimal techno, hard techno"
6qCXdVh110E8HmfbPDaazn,It's Easier,197226,0,False,,,,,,
147fFC2gtiRMw9KMmhxVgP,Skeleton,196653,37,False,,,,,,indie rock
0QHnxQsdunrlmduVLPQCNy,Can't Go Home (feat. Adam Lambert) - Radio Edit,183576,32,False,,,,,,"electro house, edm, tropical house"
2nNx5HLWtOyiGeF27MfAEN,Seastar II - Simox Remix,281000,2,False,,,,,,"hard techno, acid techno"
2vl9yXYJmoKbv72pUIxoue,Apollo 11,464646,44,False,,,,,,"minimal techno, techno, melodic techno, melodic house, tech house, melodic techno, melodic house, techno, progressive house"
0DfG1ltJnZyq4Tx3ZLL7ZU,Rock Me Amadeus,202236,65,False,,,,,,neue deutsche welle
3jTVk3yYzJ1QMkymFjIjid,Valentine,231529,0,False,,,,,,"lo-fi hip hop, lo-fi, lo-fi beats"
7kBYPyaxF3oE9EgjOMpGKs,Reach Out,138000,48,False,,,,,,"hard house, eurodance, trance, uk garage, hypertechno"
0ny5zITdmyNwyTPVzRGscU,What You Waiting For?,221226,65,False,,,,,,
6bLopGnirdrilrpdVB6Um1,The Greatest,210920,76,False,,,,,,
6ooluO7DiEhI1zmK94nRCM,Take Me Out,237026,6,False,,,,,,indie rock
0Z4N9R2pPsOzeFE9r9upR1,Shimmyah Shimmyay - Original Mix,257705,0,False,,,,,,"nu disco, deep house"
2oxtQ84p1j5GmyzmD50Lq0,Rich Girl,236213,71,False,,,,,,
7vptmeNwSEVkcwDdqk7UQO,Lauren,218210,1,False,,,,,,"bedroom pop, indie pop"
0FvP1wBXZGMkZPRyFEtkdN,Free Colombia,463563,19,False,,,,,,
0RkILrdooKw8fyUsalS9d7,Mercury Rising (feat. Anabel Englund),323382,22,False,,,,,,
1B3YzCeIj7uQCykPRdQDj2,Runaway - Remastered,226413,0,False,,,,,,"acid jazz, funk"
1mnaNbJinzhoPaDV2z0dkV,Sunqueen - Proud Remix,428698,15,False,,,,,,
6jrMVRReY24qzCfe1BRrww,What You Know,191400,1,False,,,,,,"indie, indie rock"
4UEff0ry2mzBb1KeLOOwCA,Catchfire (Sun Sun Sun) (feat. Anna Leyne) - EDX's Miami Sunset Remix,280766,0,False,,,,,,"melodic house, melodic techno"
6MKYDJRHgQLMvbWrzzsrNz,Air,128503,38,False,,,,,,"drift phonk, phonk"
7KPLvVaccakFAxIBjntHUe,Greek Tragedy,209557,53,False,,,,,,indie
7xZUNERKmjppBkuQTGktcJ,Stormia,369836,0,False,,,,,,"melodic techno, melodic house"
71RjxJDNbiariIAxBbqGJY,Bibi The Dog (feat. Mai Lan) - Fabich Remix,218750,5,False,,,,,,ballroom vogue
24CoUR3GwPXeWJzGizLzhR,Angie (i’ve been lost) [feat. Angie McMahon],285093,55,True,,,,,,"stutter house, house"
0sF6AQfF5bWQqNl5CuaXVM,Synchronicity,413509,10,False,,,,,,"melodic techno, indie dance, melodic house, progressive house, melodic techno, melodic house, afro tech, tribal house"
6BA2JM59JObFjHNvLK2KOg,Purple Noise,539520,46,False,,,,,,"minimal techno, techno, melodic techno, tech house"
2YFL29XMrC2CJTtUJ1dssJ,Game,136509,12,False,,,,,,
0GUhOjgRbZnsqmaz9rxhVr,Dance Without You,165000,45,False,,,,,,"stutter house, stutter house"
5ff77CZZUpY8Gvu5GuA6vb,HAUNTED,137851,61,True,,,,,,
4KRkEk3K81E6jUYSBSXWt2,Crazy - Nôze Remix Extended Club Version,359835,0,False,,,,,,french indie pop
1Lo2lpRBVnymdyJMe2otSU,3 Life Game,309382,11,False,,,,,,"hard techno, techno, acid techno"
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,242373,87,False,,,,,,
7DjHiDck3fqsiBBnRX5FLb,Hold Me - Sped Up,118018,38,False,,,,,,stutter house
6uKp6XtuGx9oCI3j8SiHyd,Spreading The Cult,362078,18,False,,,,,,"acid techno, techno, hard techno, tekno, acid house"
3AA8xNhDC0MpqwkGX3EP5V,If I Ever Feel Better,266600,64,False,,,,,,indie
3tRqWoZuQtOfG54Vd6nNdq,Inhaler,292546,0,False,,,,,,indie
7EeTZt8GtMM2XYoKjMIckd,Paradigm - Radio Edit,175955,28,False,,,,,,"melodic techno, house, progressive house, melodic house, tech house"
7kBAvb6HSxMoeaOoQ5kYYl,Infinity - Original Mix,315200,0,False,,,,,,"hard techno, techno, acid techno, tekno"
4xLDWc1ymSHUhPUIoAcH8P,Love In Ruins (feat. Sinead Harnett),258558,42,False,,,,,,"edm, melodic bass, future bass, alternative r&b, uk r&b"
1amfDxySvja0PP6LjosvNB,The Mirage,371903,0,False,,,,,,"melodic techno, melodic house, techno"
5f73EH8020u0znMDJUYTMj,Me And The Devil,185000,0,False,,,,,,
2nNO3STc1GprRP3GaAxmJA,Participants,380487,0,False,,,,,,"minimal techno, melodic techno, techno"
2rfJqaiKKH2VFzj61oscaa,Caje (Album Edit) - Orginal Version,439565,46,False,,,,,,"minimal techno, deep house, organic house"
4ydvl89sPztvxuc2suvOQU,Alive,403114,0,False,,,,,,"techno, acid techno, melodic techno, melodic house, indie dance"
7G8Fbb6e8dr9qAFIPhNgN8,The Quad,369644,0,False,,,,,,"melodic techno, house, progressive house, melodic house, tech house"
1WMYS2BA6fxRaD97kywBE5,Night Travel (feat. Tom Smith) - Trance Wax Remix,305135,0,False,,,,,,"melodic techno, minimal techno, techno, deep house, melodic house, trance, progressive trance"
0bqjS54zmDlYanW8mlx28k,Lose Control,337500,35,False,,,,,,"progressive trance, trance, progressive house, synthwave"
2TYJ9tNQ2qlpo0Bm7qhaNi,Робот,231186,42,False,,,,,,
6p2sh70Zowkw47cG0TkXg0,Phonky Tribu - FUNK TRIBU SPECIAL MIX,186095,49,False,,,,,,"hard house, techno, phonk, hard techno"
5GDhxndpilh5O6BDNFwN6f,Brigada,323025,0,False,,,,,,"acid house, italo disco"
19XQb9uJRmHwxb0EOVXkvn,Image Of The Invisible,254853,0,False,,,,,,"post-hardcore, screamo"
5uILRmyLHrXnYNHjgCiWrR,One,433703,0,False,,,,,,"melodic house, organic house, melodic techno, progressive house"
6h1hZnfvSEG1wipCq4nQsX,Who We Are,263452,14,False,,,,,,"melodic techno, minimal techno, techno, melodic house, melodic house, organic house, melodic techno, progressive house"
2AljG7lFywSjjLBVMOhm7s,i like the way you kiss me - Marlon Hoffstadt aka DJ Daddy Trance remix,199083,46,False,,,,,,"hard house, eurodance, techno, trance, hard house, eurodance, hypertechno, techno, trance"
1QhtyPVcTEoRa6fkizTwkj,Dreaming - Casper Cole Remix,265365,9,False,,,,,,"melodic house, afro tech, melodic techno, afro house"
2M5IlFTxs1ZtdHWHuWCXTl,Crazy Right Now - Andy Murphy Remix,186461,18,False,,,,,,
3jxbAI2diYt8Hub0KMX4Vy,FATE,202181,29,False,,,,,,"techno, hard techno, techno, hard house, trance"
5dpDrUG52yI3s1AQRlaypA,All Downhill From Here,192426,1,False,,,,,,"pop punk, punk, emo"
5w9UIKPFx7KMZWEr07KP1F,Disco Gnome,517500,16,False,,,,,,
