rank,artist_id,artist_name,genres,popularity,followers,time_range
1,2Q3eZMfDQgT8MhPowKFXYO,t.A.T.u.,,67,1071750,short_term
2,0VSt9azgjBhQlNlSlySE7M,Pascal Schumacher,"dark ambient, neoclassical",29,5268,short_term
3,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,"classic rock, rock",81,15619169,short_term
4,7orlzf5LTqSnCzURkZFebN,KAS:ST,"melodic techno, techno, acid techno, melodic house",50,146980,short_term
5,1vK8NnrPlBlF34LaiFX1SK,Funk Tribu,"hard house, techno, phonk, hard techno",62,133290,short_term
6,3YPJmqPLtlrRR4oiJquoNF,Desirée Falessi,minimal techno,5,351,short_term
7,50udUOTR7dQUgyPwPuCLM6,MALUGI,"hard house, eurodance, trance, uk garage, hypertechno",55,37023,short_term
8,21A7bhIL1m6CNZn8y57PIZ,Reinier Zonneveld,"techno, acid techno, hard techno, tekno, minimal techno",53,199540,short_term
9,3jO7X5KupvwmWTHGtHgcgo,Charly García,"argentine rock, latin rock, rock en español",68,2124146,short_term
10,3vcY5vaGqSQF6UA9N2iC4L,Mees Salomé,"melodic techno, melodic house",44,28007,short_term
11,4uZJDUKi3NXQsuMKP3rOeC,Miguel Campbell,"nu disco, deep house",46,41746,short_term
12,74jsi7l0vNMMxyZYhOCgVN,Green Court,trance,19,1583,short_term
13,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,"classic rock, psychedelic rock",86,30563276,short_term
14,4oLeXFyACqeem2VImYeBFe,Fred again..,"stutter house, house",80,2134054,short_term
15,73A3bLnfnz5BoQjb4gNCga,BICEP,,63,628692,short_term
16,6kBDZFXuLrZgHnvmPu9NsG,Aphex Twin,"idm, ambient, electronica",67,1758965,short_term
17,6nJEMDVNcq7fduXgk7EdGG,MilleniumKid,"german indie, neue deutsche welle, german indie pop",68,83340,short_term
18,5NGO30tJxFlKixkPSgXcFE,The Police,,80,7468541,short_term
1,4V8AR3bBMhrLaWirYLKBEe,Kalte Liebe,"techno, hard techno, neue deutsche welle",47,40030,medium_term
2,21A7bhIL1m6CNZn8y57PIZ,Reinier Zonneveld,"techno, acid techno, hard techno, tekno, minimal techno",53,199540,medium_term
3,5Oj63iJRdqjYznBuOGct8Z,skaviński,,35,4877,medium_term
4,4uZJDUKi3NXQsuMKP3rOeC,Miguel Campbell,"nu disco, deep house",46,41746,medium_term
5,67zxtspF6QzJlc2a99yKwB,MARA,,38,6266,medium_term
6,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,"classic rock, rock",81,15619169,medium_term
7,7orlzf5LTqSnCzURkZFebN,KAS:ST,"melodic techno, techno, acid techno, melodic house",50,146980,medium_term
8,1vK8NnrPlBlF34LaiFX1SK,Funk Tribu,"hard house, techno, phonk, hard techno",62,133290,medium_term
9,2Q3eZMfDQgT8MhPowKFXYO,t.A.T.u.,,67,1071750,medium_term
10,50udUOTR7dQUgyPwPuCLM6,MALUGI,"hard house, eurodance, trance, uk garage, hypertechno",55,37023,medium_term
11,01xiB0IlXMXy3wrrotgDnU,Clint Mansell,soundtrack,53,174404,medium_term
12,73A3bLnfnz5BoQjb4gNCga,BICEP,,63,628692,medium_term
13,6kBDZFXuLrZgHnvmPu9NsG,Aphex Twin,"idm, ambient, electronica",67,1758965,medium_term
14,5HbNxuQxsJRdjqfJ6wNh17,Amirali,indie dance,21,6206,medium_term
15,0VSt9azgjBhQlNlSlySE7M,Pascal Schumacher,"dark ambient, neoclassical",29,5268,medium_term
16,0bdfiayQAKewqEvaU6rXCv,MØ,,72,1465813,medium_term
17,0iui2Be5CP8EWxvHYsVspL,Breakbot,"french house, nu disco",57,468700,medium_term
18,26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,,77,4273538,medium_term
19,2zTZPZYK9L4KKiCd8kPJrM,Asher Fulero,,27,3234,medium_term
20,44zcDDVZOY0ck7KECNUPK1,Dominik Eulberg,"minimal techno, melodic techno",45,150153,medium_term
21,0X380XXQSNBYuleKzav5UO,Nine Inch Nails,"industrial rock, industrial, industrial metal, alternative metal, nu metal",74,3027262,medium_term
22,3jO7X5KupvwmWTHGtHgcgo,Charly García,"argentine rock, latin rock, rock en español",68,2124146,medium_term
23,4oLeXFyACqeem2VImYeBFe,Fred again..,"stutter house, house",80,2134054,medium_term
24,609hP92W6p3l5agWsi1pnb,Tham,"hard techno, acid techno, techno, industrial",34,16537,medium_term
25,0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer,soundtrack,80,4723023,medium_term
26,44Ga1YqZthFOzZSTHiNWkC,Hidden Empire,"melodic techno, minimal techno, techno, melodic house",39,59178,medium_term
27,2AR42Ur9PcchQDtEdwkv4L,Floating Points,"idm, gnawa",52,388522,medium_term
28,2exkZbmNqMKnT8LRWuxWgy,Moderat,"idm, electronica",58,761282,medium_term
29,4iBwchw0U0GZv5RfVYSMxN,Anyma,"melodic techno, melodic house, techno, stutter house",73,780255,medium_term
30,0TcG5lNGilB4tBNdhcOaAU,ROÜGE,"ebm, hard techno, techno",22,7989,medium_term
31,3YPJmqPLtlrRR4oiJquoNF,Desirée Falessi,minimal techno,5,351,medium_term
32,6Ghvu1VvMGScGpOUJBAHNH,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",86,7566363,medium_term
33,7w29UYBi0qsHi5RTcv3lmA,Björk,"art pop, trip hop",67,2420726,medium_term
34,1WjBIvYAnZTkTh5UiZNwlR,Oliver Koletzki,"organic house, minimal techno",56,364857,medium_term
35,6mM9a86Nrw0y7f9MaJGbpU,Giolì & Assia,melodic techno,49,224748,medium_term
36,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,"classic rock, yacht rock, soft rock",87,13807473,medium_term
37,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,"funk rock, alternative rock, rock",86,23063488,medium_term
38,6BVLQfvzlvlNZ43WjbFgbI,Jean Tonique,"nu disco, french house, french indie pop",59,49979,medium_term
39,1yAwtBaoHLEDWAnWR87hBT,Modest Mouse,"indie rock, indie, alternative rock",67,1566634,medium_term
40,5wMlMjOLeJfS5DfxqGfm83,Jan Blomqvist,"melodic house, melodic techno, deep house",63,323994,medium_term
41,041iTeoMIwXMlShuQPIVKo,Klangkarussell,,66,441912,medium_term
42,240wlM8vDrf6S4zCyzGj2W,CamelPhat,"melodic techno, house, progressive house, melodic house, tech house",69,519396,medium_term
43,3VNITwohbvU5Wuy5PC6dsI,Kool & The Gang,"disco, funk",71,2792271,medium_term
44,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"hip hop, east coast hip hop, rap",86,10268291,medium_term
45,3vcY5vaGqSQF6UA9N2iC4L,Mees Salomé,"melodic techno, melodic house",44,28007,medium_term
46,4O71i7ke5iIBX6RNSFoZbS,trentemøller,"minimal techno, electronica",49,407313,medium_term
47,4gGD7nrLZRnnCSz3KGEu4R,Township Rebellion,"melodic techno, minimal techno, techno, melodic house",41,68587,medium_term
48,5n8XW4GI0uT3sHgwUOUapx,Alx Beats,"drift phonk, phonk",42,17726,medium_term
49,6Jbyd4qzEtbFtswZP1o6Ht,Agents Of Time,"melodic techno, melodic house, techno",59,130005,medium_term
50,74jsi7l0vNMMxyZYhOCgVN,Green Court,trance,19,1583,medium_term
1,4uZJDUKi3NXQsuMKP3rOeC,Miguel Campbell,"nu disco, deep house",46,41746,long_term
2,21A7bhIL1m6CNZn8y57PIZ,Reinier Zonneveld,"techno, acid techno, hard techno, tekno, minimal techno",53,199540,long_term
3,4V8AR3bBMhrLaWirYLKBEe,Kalte Liebe,"techno, hard techno, neue deutsche welle",47,40030,long_term
4,4iBwchw0U0GZv5RfVYSMxN,Anyma,"melodic techno, melodic house, techno, stutter house",73,780255,long_term
5,01xiB0IlXMXy3wrrotgDnU,Clint Mansell,soundtrack,53,174404,long_term
6,1vK8NnrPlBlF34LaiFX1SK,Funk Tribu,"hard house, techno, phonk, hard techno",62,133290,long_term
7,5HbNxuQxsJRdjqfJ6wNh17,Amirali,indie dance,21,6206,long_term
8,1I8yEn0RSxacRvLxd8N56a,Vintage,,59,158755,long_term
9,4oLeXFyACqeem2VImYeBFe,Fred again..,"stutter house, house",80,2134054,long_term
10,240wlM8vDrf6S4zCyzGj2W,CamelPhat,"melodic techno, house, progressive house, melodic house, tech house",69,519396,long_term
11,6Jbyd4qzEtbFtswZP1o6Ht,Agents Of Time,"melodic techno, melodic house, techno",59,130005,long_term
12,7orlzf5LTqSnCzURkZFebN,KAS:ST,"melodic techno, techno, acid techno, melodic house",50,146980,long_term
13,4eFbq5PZgW7YbtA65PP4wS,Alignment,"hard techno, techno, acid techno, tekno",46,89274,long_term
14,5wMlMjOLeJfS5DfxqGfm83,Jan Blomqvist,"melodic house, melodic techno, deep house",63,323994,long_term
15,5Nd385K2g3s0828W8Ab70z,TRYM,"hard techno, techno, acid techno, tekno",45,116600,long_term
16,6mM9a86Nrw0y7f9MaJGbpU,Giolì & Assia,melodic techno,49,224748,long_term
17,6FBDaR13swtiWwGhX1WQsP,blink-182,"pop punk, punk, rock, skate punk, emo",80,9229779,long_term
18,3IFgjVPT8yeB4UnJCWOpZA,Teenage Mutants,"techno, acid techno",46,43291,long_term
19,3jO7X5KupvwmWTHGtHgcgo,Charly García,"argentine rock, latin rock, rock en español",68,2124146,long_term
20,6H77vD9YyhyxHBTkRpbMBk,Klangkuenstler,"hard techno, techno, acid techno, tekno",54,204857,long_term
21,44Ga1YqZthFOzZSTHiNWkC,Hidden Empire,"melodic techno, minimal techno, techno, melodic house",39,59178,long_term
22,6LtXxYMIiKSy2EGHnz1f5j,Brutalismus 3000,"techno, hard techno, tekno, gabber, acid techno",58,431716,long_term
23,5Ho1vKl1Uz8bJlk4vbmvmf,Amelie Lens,"techno, acid techno, hard techno, tekno",60,721732,long_term
24,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,"classic rock, rock",81,15619169,long_term
25,5EnbpUtGIk2qPzGgNE75m0,In Verruf,"hard techno, acid techno, techno, hardcore techno, tekno",41,24948,long_term
26,3SLV96o2Xa4oOZpSl5FwgD,Shaolin Cowboy,"lo-fi house, jazz house",44,18083,long_term
